Token;Label_AB;Label_AA;Label_CF;Label_LM;Label_MB;Label_CKP;Label_DN;périmètre;accord;désaccord_PER;désaccord_LOC;désaccord_ORG;désaccord_MISC;confusion
PTITB;PER;PER;;PER;MISC;MISC;;X;PER;X;;;X;X
JLANN;PER;PER;;PER;;;;X;;X;;;;X
"
";;;;;;;;;;;;;;
IL;;;;;;;;;;;;;;
DRV0IR;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
PHEIIIkI;;;;;;;;;;;;;;
PAIII;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
EMANCE;;;;;PER;NA ;;X;;X;;;;X
DE;;;;;PER;;;X;;X;;;;X
JEANME;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
0;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
a;PER;PER;PER;;;PER;;X;PER;;;;;X
mbre;PER;PER;PER;;PER;PER;;X;PER;;;;;X
Nannette;PER;PER;PER;PER;PER;PER;;X;PER;;;;;X
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Il;;;;;;;;;;;;;;
y;;;;;;;;;;;;;;
avait;;;;;;;;;;;;;;
dans;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
bousrg;;;;;;;LOC;X;;;X;;;X
du;;;;LOC;;;;X;;;X;;;X
dpartenent;LOC;;;LOC;;;LOC;X;;;X;;;X
du;LOC;;;LOC;;;;X;;;X;;;X
"
";;;;;;;;;;;;;;
tCher;LOC;LOC;;LOC;LOC;LOC;LOC;X;LOC;;;;;X
une;;;;;;;;;;;;;;
bonne;;;;;;;;;;;;;;
veuve;;;;;;;;;;;;;;
ag6e;;;;;MISC;;;X;;;;;X;X
de;;;;;MISC;;;X;;;;;X;X
soixante;;;;;MISC;;;X;;;;;X;X
ans;;;;;MISC;;;X;;;;;X;X
0;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
on;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
appelait;;;;;;;;;;;;;;
la;PER;PER;PER;PER;;PER;PER;X;PER;;;;;X
mbre;PER;PER;PER;PER;LOC;PER;PER;X;PER;;;;;X
Nunnette;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
.;;;;;;;;;;;;;;
Llle;;;;;LOC;;;X;;;X;;;X
poss6dait;;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
petite;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
maison;;;;;;;LOC;X;;;X;;;X
aves;;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
petite;;;;;;;;;;;;;;
chneire;;;;;;;LOC;X;;;X;;;X
et;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
jardin;;;;;;;LOC;X;;;X;;;X
"
";;;;;;;;;;;;;;
plante;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
pommiers;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
pruniers;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
groseilliers;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Du;;;;;;LOC;;X;;;X;;;X
cbt6;;;;;;LOC;;X;;;X;;;X
du;;;;;;LOC;;X;;;X;;;X
chemin;;;;;;LOC;LOC;X;;;X;;;X
0;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
gros;;;;;;;;;;;;;;
noyer;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
avait;;;;;;;;;;;;;;
plus;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
cent;MISC;;;;;;;X;;;;;X;X
ans;MISC;;;;;;;X;;;;;X;X
0;;;;;;;;;;;;;;
ombruageait;;;;;;;;;;;;;;
le;;;;;;;;;;;;;;
davant;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
porte;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
Quand;;;;;;;;;;;;;;
les;;;;;;;;;;;;;;
fleurs;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
cet;;;;;;;;;;;;;;
arbre;;;;;;;;;;;;;;
ne;;;;;;;;;;;;;;
gelaient;;;;;;;;;;;;;;
pas;;;;;;;;;;;;;;
au;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
printemps;MISC;;;;;;;X;;;;;X;X
0;;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
donnait;;;;;;;;;;;;;;
assez;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
noix;;;;;;;;;;;;;;
a;;;;;;;;;;;;;;
la;PER;PER;PER;;PER;PER;PER;X;PER;;;;;X
mere;PER;PER;PER;;PER;PER;PER;X;PER;;;;;X
];;;PER;;;PER;PER;X;;X;;;;X
"
";;;PER;;;PER;PER;X;;X;;;;X
Nannette;PER;PER;PER;PER;PER;PER;PER;X;PER;;;;;
pour;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
sa;;;;;;;;;;;;;;
provision;;;;;;;;;;;;;;
d';;;;;;;;;;;;;;
huile;;;;;;;;;;;;;;
l';;;;;;;;;;;;;;
an-;MISC;;;;;;;X;;;;;X;X
];;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
nee;MISC;;;;;;;X;;;;;X;X
suivante;MISC;;;;;;;X;;;;;X;X
.;;;;;;;;;;;;;;
Sil;;;;;;;;;;;;;;
se;;;;;;;;;;;;;;
faisait;;;;;;;;;;;;;;
deux;;;;;;;;;;;;;;
bonnes;;;;;;;;;;;;;;
r6eoltes;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
suite;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
vendait;;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
partie;;;;;;;;;;;;;;
des;;;;;;;;;;;;;;
noix;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
ce;;;;;;;;;;;;;;
qui;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
lui;;;;;;;;;;;;;;
donnait;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
petit;;;;;;;;;;;;;;
profit;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Quoiquell;;;;;;;;;;;;;;
poss6dht;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
une;;;;;;;;;;;;;;
vigne;;;;;;;LOC;X;;;X;;;X
et;;;;;;;;;;;;;;
un;;;;;;;;;;;;;;
bssu;;;;;;;;;;;;;;
morceau;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
terre;;;;;;LOC;;X;;;X;;;X
0;;;;;;;;;;;;;;
elle;;;;;;;;;;;;;;
n';;;;;;;;;;;;;;
a-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
vait;;;;;;;;;;;;;;
qe;;;;;;;;;;;;;;
bien;;;;;;;;;;;;;;
juste;;;;;;;;;;;;;;
ee;;;;;;;;;;;;;;
qu';;;;;;;;;;;;;;
il;;;;;;;;;;;;;;
lui;;;;;;;;;;;;;;
fllait;;;;;;;;;;;;;;
pour;;;;;;;;;;;;;;
vire;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
PREMIIRR;;;;;;;;;;;;;;
PAHR;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
lla;;;;;;;;;;;;;;
samait;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
fromant;;;;;;;;;;;;;;
daux;MISC;;;;;;;X;;;;;X;X
anneas;MISC;;;;;;;X;;;;;X;X
de;MISC;;;;;;;X;;;;;X;X
suite;MISC;;;;;;;X;;;;;X;X
dans;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
eon;;;;;;;PER;X;;X;;;;X
ehamp;LOC;;;;;;LOC;X;;;X;;;X
0;;;;;;;;;;;;;;
gqui;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
la;;;;;;;;;;;;;;
troisime;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;
rapportait;;;;;;;;;;;;;;
alterna-;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
tivement;;;;;;;;;;;;;;
du;;;;;;;;;;;;;;
trbfle;;;;;;;;;;;;;;
et;;;;;;;;;;;;;;
des;;;;;;;;;;;;;;
pmmes;;;;;;;;;;;;;;
do;;;;;;;;;;;;;;
tenre;;;;;;;;;;;;;;
.;;;;;;;;;;;;;;
Klle;;;;;;;;;;;;;;
"
";;;;;;;;;;;;;;
resoltait;;;;;;;;;;;;;;
asse;;;;;;;;;;;;;;
de;;;;;;;;;;;;;;
